scientific_name_raw,scientific_name_display,scientific_name_clean_original,scientific_name_clean,tip_relation,other name
Ateles chamek,Ateles chamek,ateles chamek,ateles chamek,Ateles paniscus,
Ateles marginatus,Ateles marginatus,ateles marginatus,ateles marginatus,,Ateles belzebuth
Callithrix kuhlii,Callithrix kuhlii,callithrix kuhlii,callithrix kuhlii,Callithrix penicillata ,
Cebus nigritus,Cebus nigritus,cebus nigritus,cebus nigritus,Cebus apella,
Saguinus labiatus,Saguinus labiatus,saguinus labiatus,saguinus labiatus,Saguinus mystax,
Saguinus nigricollis,Saguinus nigricollis,saguinus nigricollis,saguinus nigricollis,Saguinus fuscicollis,
Cercocebus atys,Cercocebus atys,cercocebus atys,cercocebus atys,Cercocebus torquatus,
Prolemur simus,Prolemur simus,prolemur simus,prolemur simus,Hapalemur,
Chiropotes albinasus,Chiropotes albinasus,chiropotes albinasus,chiropotes albinasus,Cacajao,
Pithecia aequatorialis,Pithecia aequatorialis,pithecia aequatorialis,pithecia aequatorialis,Pithecia,
Pithecia monachus,Pithecia monachus,pithecia monachus,pithecia monachus,Pithecia,
