scientific_name_clean,tip_relation,other_name,action
ateles chamek,ateles paniscus,NA,graft
ateles marginatus,NA,ateles belzebuth,merge
callithrix kuhlii,callithrix penicillata,NA,graft
cebus nigritus,cebus apella,NA,graft
saguinus labiatus,saguinus mystax,NA,graft
saguinus nigricollis,saguinus fuscicollis,NA,graft
cercocebus atys,cercocebus torquatus,NA,graft
prolemur simus,hapalemur,NA,graft
chiropotes albinasus,cacajao,NA,graft
pithecia aequatorialis,pithecia,NA,graft
pithecia monachus,pithecia,NA,graft
