tree_tip_clean,n_raw_tips,raw_tips
aotus azarai,2,Aotus_azarai; Aotus_azarai_boliviensis
aotus lemurinus,2,Aotus_lemurinus; Aotus_lemurinus_griseimembra
cercocebus torquatus,2,Cercocebus_torquatus; Cercocebus_torquatus_atys
cercopithecus campbelli,2,Cercopithecus_campbelli; Cercopithecus_campbelli_lowei
cercopithecus cephus,3,Cercopithecus_cephus; Cercopithecus_cephus_cephus; Cercopithecus_cephus_ngottoensis
cercopithecus erythrogaster,2,Cercopithecus_erythrogaster; Cercopithecus_erythrogaster_erythrogaster
chlorocebus pygerythrus,2,Chlorocebus_pygerythrus; Chlorocebus_pygerythrus_cynosurus
colobus angolensis,2,Colobus_angolensis; Colobus_angolensis_palliatus
eulemur fulvus,7,Eulemur_fulvus_albifrons; Eulemur_fulvus_albocollaris; Eulemur_fulvus_collaris; Eulemur_fulvus_fulvus; Eulemur_fulvus_mayottensis; Eulemur_fulvus_rufus; Eulemur_fulvus_sanfordi
eulemur macaco,2,Eulemur_macaco_flavifrons; Eulemur_macaco_macaco
gorilla gorilla,2,Gorilla_gorilla_gorilla; Gorilla_gorilla_graueri
hapalemur griseus,5,Hapalemur_griseus; Hapalemur_griseus_alaotrensis; Hapalemur_griseus_griseus; Hapalemur_griseus_meridionalis; Hapalemur_griseus_occidentalis
homo sapiens,2,Homo_sapiens; Homo_sapiens_neanderthalensis
macaca nemestrina,3,Macaca_nemestrina; Macaca_nemestrina_leonina; Macaca_nemestrina_siberu
pan troglodytes,4,Pan_troglodytes_schweinfurthii; Pan_troglodytes_troglodytes; Pan_troglodytes_vellerosus; Pan_troglodytes_verus
phaner furcifer,2,Phaner_furcifer; Phaner_furcifer_pallescens
saguinus fuscicollis,2,Saguinus_fuscicollis; Saguinus_fuscicollis_melanoleucus
